Ano;DscClassificacao;Descricao Categoria;Agente;CNPJ;Ordem IASC;MdaIndicadorQualidade;MdaIndicadorSatisfacao;MdaIndicadorFidelidade;MdaIndicadorValor;MdaIndicadorConfianca;MdaMediaSatisfacaoS1;MdaMediaSatisfacaoS2;MdaMediaSatisfacaoS3;MdaMediaQualidadeInformacao;MdaMediaQualidadeAcesso;MdaMediaQualidadeConfiabilidade;MdaMediaSatisfacao
2020;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerbranorte;86.433.042./000.1-31;34;75,9;65,2;;24,1;69,5;6,9;6,7;7,1;7,1;8,4;8,0;6,9
2020;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceripa;49.606.312./000.1-32;35;71,2;63,5;;28,6;65,7;7,0;6,9;6,3;7,2;7,7;7,3;6,7
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cersad Distribuidora;11.615.872./000.1-80;36;81,4;63,2;;41,0;78,2;6,6;6,7;6,8;8,3;8,9;7,8;6,7
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cedri;50.105.865./000.1-90;37;73,4;61,5;;22,4;70,4;6,5;6,6;6,6;7,3;8,1;7,4;6,5
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cejama;85.665.990./000.1-30;38;77,1;60,8;;24,1;71,2;6,3;6,4;6,7;7,4;8,5;7,9;6,5
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cercos;13.107.842./000.1-99;39;72,2;59,3;;25,4;68,2;6,0;6,5;6,5;6,9;8,0;7,6;6,3
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceral Araruama;28.610.236./000.1-69;40;69,8;59,0;;26,4;69,7;6,4;6,6;6,0;7,2;7,9;6,7;6,3
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coopernorte;88.022.918./000.1-82;41;72,8;56,9;;24,0;71,0;6,1;6,0;6,3;7,5;8,2;7,1;6,1
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceris;57.384.943./000.1-82;42;67,2;56,2;;26,5;63,8;6,1;6,2;5,8;6,9;7,5;6,7;6,1
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cervam;55.188.502./000.1-80;43;74,6;55,6;;29,2;71,4;5,8;5,9;6,3;7,7;8,5;7,0;6,0
2020;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerpalo;85.318.640./000.1-05;44;70,7;55,5;;21,8;63,9;6,0;6,0;6,1;6,7;8,1;7,3;6,0
2020;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerci;27.707.397./000.1-02;45;68,8;55,5;;23,5;66,5;5,8;6,2;6,0;7,0;7,6;7,0;6,0
2020;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerim;50.235.449./000.1-07;46;68,2;55,5;;21,1;64,9;5,9;5,9;6,2;6,8;7,8;6,8;6,0
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cermc;52.548.732./000.1-14;47;68,9;52,3;;25,9;66,5;5,6;5,9;5,6;7,2;7,8;6,6;5,7
2020;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerrp;46.598.678./000.1-19;48;69,4;51,4;;23,5;66,6;5,4;5,7;5,7;7,1;7,9;6,8;5,6
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coopersul;87.462.750./000.1-63;49;71,8;49,9;;20,1;63,9;4,9;5,7;5,8;7,1;8,3;6,9;5,5
2020;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerfox;97.505.838./000.1-79;50;65,8;48,4;;21,0;56,0;5,3;5,1;5,6;6,2;7,7;6,9;5,4
2020;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceres;31.465.487./000.1-01;51;67,2;47,7;;25,2;61,3;5,3;5,3;5,3;7,0;7,5;6,6;5,3
2019;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Mux Energia;97.578.090./000.1-34;1;83,9;83,9;48,5;33,8;84,2;8,6;8,8;8,1;8,5;8,7;8,4;8,5
2019;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Forcel;79.850.574./000.1-09;2;85,4;82,6;32,5;26,9;79,8;8,5;8,8;8,0;8,4;8,9;8,8;8,4
2019;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Hidropan;91.982.348./000.1-87;3;81,7;80,3;46,5;32,7;81,3;8,3;8,5;7,9;8,3;8,5;8,2;8,2
2019;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;DMED;23.664.303./000.1-04;4;83,0;79,7;43,3;28,8;79,6;8,1;8,6;7,8;8,5;8,5;8,4;8,2
2019;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Eletrocar;88.446.034./000.1-55;5;80,5;79,4;47,1;33,5;79,1;8,2;8,5;7,8;8,2;8,5;8,1;8,1
2019;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Iguaçu Energia;83.855.973./000.1-30;6;79,7;77,7;34,0;35,0;76,4;8,2;8,4;7,4;8,3;8,1;8,1;8,0
2019;Concessionária;Sul acima de 400 mil unidades consumidoras;Celesc-Dis;08.336.783./000.1-90;7;77,6;77,1;39,6;33,2;73,7;8,2;8,2;7,4;7,9;8,1;7,9;7,9
2019;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cocel;75.805.895./000.1-30;8;81,1;77,0;32,1;30,2;73,3;8,2;8,2;7,4;8,0;8,6;8,2;7,9
2019;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;CPFL Santa Cruz;53.859.112./000.1-69;9;79,8;76,8;34,6;27,3;77,6;8,0;8,4;7,2;8,2;8,3;8,1;7,9
2019;Concessionária;Nordeste;Sulgipe;13.255.658./000.1-96;10;76,8;76,7;47,4;41,2;76,1;8,2;8,4;7,2;7,6;8,1;8,0;7,9
2019;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cooperaliança;83.647.990./000.1-81;11;78,0;76,5;40,5;38,0;73,6;8,2;8,2;7,3;7,7;8,4;8,0;7,9
2019;Concessionária;Sul acima de 400 mil unidades consumidoras;Copel-Dis;04.368.898./000.1-06;12;74,4;75,0;39,7;29,0;73,2;7,8;8,0;7,5;7,7;7,8;7,5;7,8
2019;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Energisa Sul-Sudeste;07.282.377./000.1-20;13;77,7;74,9;38,6;30,2;73,4;7,9;8,1;7,3;8,0;8,1;7,8;7,7
2019;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Chesp;01.377.555./000.1-10;14;75,3;74,9;33,8;28,2;75,6;7,7;8,1;7,4;7,5;8,1;7,7;7,7
2019;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Santa Maria;27.485.069./000.1-09;15;79,7;74,5;40,4;32,9;77,1;7,7;8,3;7,1;8,2;8,3;8,0;7,7
2019;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Demei;95.289.500./000.1-00;16;75,2;74,4;43,5;29,6;73,6;7,8;7,9;7,4;8,0;7,8;7,6;7,7
